uid;assembly;planned_date;progdate;plan_date;length;length_thick;width;width_thick;height;plan;pod;pod_name;project_id
13342;B-302-106;NULL;NULL;NULL;20.78;NULL;0.5;NULL;1.2;2019.07.05;NULL;NULL;P19023
13354;GF-01 (M);NULL;NULL;NULL;4.45;NULL;2.54;NULL;0.18;2017.01.01;NULL;NULL;PGYGAL
13340;B-302-106;NULL;NULL;NULL;20.78;NULL;0.5;NULL;1.2;2019.07.05;NULL;NULL;P19023
13339;B-302-106;NULL;NULL;NULL;20.78;NULL;0.5;NULL;1.2;2019.07.05;NULL;NULL;P19023
13338;B-303-106;NULL;NULL;NULL;20.78;NULL;0.5;NULL;1.2;2019.07.05;NULL;NULL;P19023
13337;B-303-106;NULL;NULL;NULL;20.78;NULL;0.5;NULL;1.2;2019.07.05;NULL;NULL;P19023
13341;B-301-106;NULL;NULL;NULL;20.78;NULL;0.5;NULL;1.2;2019.07.05;NULL;NULL;P19023
13336;B-304-106;NULL;NULL;NULL;20.78;NULL;0.5;NULL;1.2;2019.07.05;NULL;NULL;P19023
13355;GF-01 (M);NULL;NULL;NULL;4.45;NULL;2.54;NULL;0.18;2017.01.01;NULL;NULL;PGYGAL
13334;B-305-106;NULL;NULL;NULL;20.78;NULL;0.5;NULL;1.2;2019.07.05;NULL;NULL;P19023
14185;B 201-106;NULL;NULL;NULL;9.98;NULL;0.4;NULL;0.7;2019.07.05;NULL;NULL;P19023
14154;B 204-106;NULL;NULL;NULL;6.393;NULL;0.3;NULL;0.6;2019.07.05;NULL;NULL;P19023
14178;B 203-106;NULL;NULL;NULL;7.98;NULL;0.3;NULL;0.7;2019.07.05;NULL;NULL;P19023
14184;B 201-106;NULL;NULL;NULL;9.98;NULL;0.4;NULL;0.7;2019.07.05;NULL;NULL;P19023
14183;B 201-106;NULL;NULL;NULL;9.98;NULL;0.4;NULL;0.7;2019.07.05;NULL;NULL;P19023
14182;B 201-106;NULL;NULL;NULL;9.98;NULL;0.4;NULL;0.7;2019.07.05;NULL;NULL;P19023
14181;B 201-106;NULL;NULL;NULL;9.98;NULL;0.4;NULL;0.7;2019.07.05;NULL;NULL;P19023
14180;B 201-106;NULL;NULL;NULL;9.98;NULL;0.4;NULL;0.7;2019.07.05;NULL;NULL;P19023
14179;B 201-106;NULL;NULL;NULL;9.98;NULL;0.4;NULL;0.7;2019.07.05;NULL;NULL;P19023
15382;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15394;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15395;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15396;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15397;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15398;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15399;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15400;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15401;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15402;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15393;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15392;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15383;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15384;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15385;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15386;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15387;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15388;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15389;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15390;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15391;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15403;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15404;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15416;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15417;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15418;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15419;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15420;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15421;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15422;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15423;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15424;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15415;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15414;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15405;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15406;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15407;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15408;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15409;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15410;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15411;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15412;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15413;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15425;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15338;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15350;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15351;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15352;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15353;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15354;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15355;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
15356;NG1;NULL;NULL;NULL;2.4;NULL;2.4;NULL;0.35;2019.07.19;NULL;NULL;P19120
